family,group,metric,n_pos,n_neg,auc,ci_lo,ci_hi,perm_p,bh_q,baseline_auc,delta_auc,delta_ci_lo,delta_ci_hi,beats_baseline,small_n,length_only_auc
By negative evidence,vs gold (both demonstrated grades),iptm,23,8,0.23369565217391305,0.06521739130434782,0.44565217391304346,0.025397460253974602,0.05805133772337052,0.6902173913043478,-0.4565217391304347,-0.7038043478260869,-0.17119565217391303,False,False,0.8913043478260869
By negative evidence,vs gold (both demonstrated grades),chain_pair_iptm,23,8,0.23369565217391305,0.06521739130434782,0.44565217391304346,0.025397460253974602,0.05805133772337052,0.6902173913043478,-0.4565217391304347,-0.7038043478260869,-0.17119565217391303,False,False,0.8913043478260869
By negative evidence,vs gold (both demonstrated grades),ranking_score,23,8,0.33152173913043476,0.125,0.5625,0.1643835616438356,0.26301369863013696,0.6902173913043478,-0.358695652173913,-0.6548913043478262,-0.021739130434782594,False,False,0.8913043478260869
By negative evidence,vs gold (both demonstrated grades),ptm,23,8,0.20108695652173914,0.05434782608695652,0.3804347826086957,0.0108989101089891,0.05151484851514848,0.6902173913043478,-0.48913043478260865,-0.7364130434782609,-0.19021739130434778,False,False,0.8913043478260869
By negative evidence,vs gold (both demonstrated grades),fraction_disordered,23,8,0.30434782608695654,0.1358695652173913,0.5,0.09919008099190081,0.19838016198380162,0.6902173913043478,-0.38586956521739124,-0.6358695652173914,-0.0842391304347826,False,False,0.8913043478260869
By negative evidence,vs gold (both demonstrated grades),chain_pair_pae_min,23,8,0.42391304347826086,0.20652173913043478,0.6630434782608695,0.5496450354964504,0.5862880378628804,0.6902173913043478,-0.2663043478260869,-0.5434782608695652,0.03260869565217395,False,False,0.8913043478260869
By negative evidence,vs gold (both demonstrated grades),pae_inter_mean,23,8,0.15760869565217392,0.03260869565217391,0.30978260869565216,0.0035996400359964,0.05151484851514848,0.6902173913043478,-0.5326086956521738,-0.7771739130434783,-0.2391304347826087,False,False,0.8913043478260869
By negative evidence,vs gold (both demonstrated grades),pae_inter_p05,23,8,0.21195652173913043,0.07065217391304347,0.3967391304347826,0.0160983901609839,0.05151484851514848,0.6902173913043478,-0.47826086956521735,-0.7228260869565217,-0.19565217391304346,False,False,0.8913043478260869
By negative evidence,vs gold (both demonstrated grades),pae_inter_frac_lt10,23,8,0.3695652173913043,0.125,0.625,0.28577142285771423,0.41566752415667524,0.6902173913043478,-0.32065217391304346,-0.625,0.0,False,False,0.8913043478260869
By negative evidence,vs gold (both demonstrated grades),pae_inter_frac_lt5,23,8,0.39402173913043476,0.15217391304347827,0.6413043478260869,0.37136286371362864,0.42441470138700416,0.6902173913043478,-0.296195652173913,-0.6032608695652174,0.02717391304347827,False,False,0.8913043478260869
